uid,keep,interaction,title,journal
WOS:000306473000009,1,enhancement,A critical life stage of the Atlantic salmon Salmo salar: behaviour and survival during the smolt and initial post-smolt migration,JOURNAL OF FISH BIOLOGY
WOS:000406291700007,1,disease,A delayed effect of the aquatic parasite Margaritifera laevis on the growth of the salmonid host fish Oncorhynchus masou masou,LIMNOLOGY
WOS:000288266100004,1,water,A Deliberate Inclusive Policy (DIP) Approach for Coastal Resources Governance: A Fijian Perspective,COASTAL MANAGEMENT
WOS:000288266100004,1,enhancement,A Deliberate Inclusive Policy (DIP) Approach for Coastal Resources Governance: A Fijian Perspective,COASTAL MANAGEMENT
WOS:000336345300009,1,genetic,A finite element modeling technique for an aquaculture net with laboratory measurement comparisons,OCEAN ENGINEERING
WOS:000179454100006,1,disease,A first insight into stress-induced neuroendocrine and immune changes in the octopus Eledone cirrhosa,AQUATIC LIVING RESOURCES
WOS:000225261500011,1,market,A forecasting support system for aquatic products price in China,EXPERT SYSTEMS WITH APPLICATIONS
WOS:000227653500012,1,disease,A framework for understanding the potential for emerging diseases in aquaculture,PREVENTIVE VETERINARY MEDICINE
WOS:000292680900015,1,feed,A Full Lifecycle Bioenergetic Model for Bluefin Tuna,PLOS ONE
WOS:000367485200004,1,disease,A functional genomics tool for the Pacific bluefin tuna: Development of a 44K oligonucleotide microarray from whole-genome sequencing data for global transcriptome analysis,GENE
WOS:000339242700058,1,habitat,A General Model of Distant Hybridization Reveals the Conditions for Extinction in Atlantic Salmon and Brown Trout,PLOS ONE
WOS:000339242700058,1,disease,A General Model of Distant Hybridization Reveals the Conditions for Extinction in Atlantic Salmon and Brown Trout,PLOS ONE
WOS:000339242700058,1,genetic,A General Model of Distant Hybridization Reveals the Conditions for Extinction in Atlantic Salmon and Brown Trout,PLOS ONE
WOS:000279294400015,1,exclusion,"A genetic linkage map of marine shrimp Penaeus (Fenneropenaeus) chinensis based on AFLP, SSR, and RAPD markers",CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY
WOS:000351504000001,1,disease,A genome-wide association study in catfish reveals the presence of functional hubs of related genes within QTLs for columnaris disease resistance,BMC GENOMICS
WOS:000371223400011,1,habitat,A Global Analysis of the Relationship between Farmed Seaweed Production and Herbivorous Fish Catch,PLOS ONE
WOS:000254928400027,1,mpa,A global assessment of salmon aquaculture impacts on wild salmonids,PLOS BIOLOGY
WOS:000253165700045,1,enhancement,A global map of human impact on marine ecosystems,SCIENCE
WOS:A1995TN87300002,1,genetic,A global perspective on the utilization of genetically modified organisms in aquaculture and fisheries,AQUACULTURE
WOS:000182864200007,1,feed,A growth model for giant clams Tridacna crocea and T-derasa,ECOLOGICAL MODELLING
WOS:000381830800001,1,water,A highly sensitive underwater video system for use in turbid aquaculture ponds,SCIENTIFIC REPORTS
WOS:000381830800001,1,feed,A highly sensitive underwater video system for use in turbid aquaculture ponds,SCIENTIFIC REPORTS
WOS:000351179500014,1,enhancement,A histological study of gametogenesis in captive red snapper Lutjanus campechanus,AQUACULTURE RESEARCH
WOS:000284171500009,1,enhancement,"A histological study of maturity in male goldlined seabream Rhabdosargus sarba (Forskal, 1775) in the Oman Sea",JOURNAL OF APPLIED ICHTHYOLOGY
WOS:000360189000049,1,water,A histology-based fish health assessment of farmed seabass (Dicentrarchus labrax L.),AQUACULTURE
WOS:000360189000049,1,feed,A histology-based fish health assessment of farmed seabass (Dicentrarchus labrax L.),AQUACULTURE
WOS:000209187700001,1,feed,A holistic approach to development of diets for Ballan wrasse (Labrus berggylta) - a new species in aquaculture,PEERJ
WOS:000222942600002,1,market,A marketing survey on Greek consumers' attitudes towards fish,AQUACULTURE INTERNATIONAL
WOS:000254771700005,1,water,A mesocosm fish farming experiment and its implications for reducing nutrient load on a regional scale,AQUACULTURAL ENGINEERING
WOS:000254771700005,1,feed,A mesocosm fish farming experiment and its implications for reducing nutrient load on a regional scale,AQUACULTURAL ENGINEERING
WOS:000366874200015,1,water,A Metabolomic Approach To Detect Effects of Salmon Farming on Wild Saithe (Pollachius virens) Populations,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY
WOS:000366874200015,1,feed,A Metabolomic Approach To Detect Effects of Salmon Farming on Wild Saithe (Pollachius virens) Populations,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY
WOS:000382746400001,1,disease,A method of estimating in situ salmon louse nauplii production at fish farms,AQUACULTURE ENVIRONMENT INTERACTIONS
WOS:A1991EZ78800011,1,feed,A METHOD OF SEPARATING OFFSPRING FROM FARMED AND WILD ATLANTIC SALMON (SALMO-SALAR) BASED ON DIFFERENT RATIOS OF OPTICAL ISOMERS OF ASTAXANTHIN,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES
WOS:A1991EZ78800011,1,genetic,A METHOD OF SEPARATING OFFSPRING FROM FARMED AND WILD ATLANTIC SALMON (SALMO-SALAR) BASED ON DIFFERENT RATIOS OF OPTICAL ISOMERS OF ASTAXANTHIN,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES
WOS:000280270300006,1,disease,A MicroRNA Repertoire for Functional Genome Research in Rainbow Trout (Oncorhynchus mykiss),MARINE BIOTECHNOLOGY
WOS:000344788700026,1,exclusion,A microsatellite genetic linkage map of black rockfish (Sebastes schlegeli),JOURNAL OF OCEAN UNIVERSITY OF CHINA
WOS:000344788700026,1,disease,A microsatellite genetic linkage map of black rockfish (Sebastes schlegeli),JOURNAL OF OCEAN UNIVERSITY OF CHINA
WOS:A1991GP58400023,1,genetic,A MITOCHONDRIAL-DNA RESTRICTION-FRAGMENT-LENGTH-POLYMORPHISM OF POTENTIAL USE FOR DISCRIMINATION OF FARMED NORWEGIAN AND WILD ATLANTIC SALMON POPULATIONS IN SCOTLAND,AQUACULTURE
WOS:000181802700020,1,water,A model for sustainable management of shellfish polyculture in coastal bays,AQUACULTURE
WOS:000183700200005,1,water,A model of fish preference and mortality under hypoxic water in the coastal environment,MARINE POLLUTION BULLETIN
WOS:000378857800011,1,disease,A MODEL OF INFECTIOUS SALMON ANEMIA VIRUS WITH VIRAL DIFFUSION BETWEEN WILD AND FARMED PATCHES,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B
WOS:000169709200009,1,disease,A model of salmon louse production in Norway: effects of increasing salmon production and public management measures,DISEASES OF AQUATIC ORGANISMS
WOS:000371720900013,1,disease,A Modelling Framework for Assessing the Risk of Emerging Diseases Associated with the Use of Cleaner Fish to Control Parasitic Sea Lice on Salmon Farms,TRANSBOUNDARY AND EMERGING DISEASES
WOS:000371720900013,1,enhancement,A Modelling Framework for Assessing the Risk of Emerging Diseases Associated with the Use of Cleaner Fish to Control Parasitic Sea Lice on Salmon Farms,TRANSBOUNDARY AND EMERGING DISEASES
WOS:000352146700001,1,disease,A mortality event in wrasse species (Labridae) associated with the presence of viral haemorrhagic septicaemia virus,JOURNAL OF FISH DISEASES
WOS:000352146700001,1,enhancement,A mortality event in wrasse species (Labridae) associated with the presence of viral haemorrhagic septicaemia virus,JOURNAL OF FISH DISEASES
WOS:000347591500007,1,disease,"A mutation in rcsB, a gene encoding the core component of the Rcs cascade, enhances the virulence of Edwardsiella tarda",RESEARCH IN MICROBIOLOGY
WOS:000306899900019,1,disease,"A natural freshwater origin for two chlamydial species, Candidatus Piscichlamydia salmonis and Candidatus Clavochlamydia salmonicola, causing mixed infections in wild brown trout (Salmo trutta)",ENVIRONMENTAL MICROBIOLOGY
WOS:000349581900011,1,disease,A naturally occurring substitution in the E2 protein of Salmonid alphavirus subtype 3 changes viral fitness,VIRUS RESEARCH
WOS:000349581900011,1,genetic,A naturally occurring substitution in the E2 protein of Salmonid alphavirus subtype 3 changes viral fitness,VIRUS RESEARCH
WOS:000296138000004,1,habitat,"A Network Approach to Addressing Strategic Fisheries, Aquaculture, and Aquatic Sciences Issues at a National Scale: An Introduction to a Series of Case Studies from Canada",FISHERIES
WOS:000347556700001,1,feed,A new model for simulating growth in fish,PEERJ
WOS:000349619900017,1,exclusion,A new species for sea cucumber ranching and aquaculture: Breeding and rearing of Holothuria arguinensis,AQUACULTURE
WOS:000349619900017,1,enhancement,A new species for sea cucumber ranching and aquaculture: Breeding and rearing of Holothuria arguinensis,AQUACULTURE
WOS:000361922800141,1,genetic,A new specific reference gene based on growth hormone gene (GH1) used for detection and relative quantification of Aquadvantage (R) GM salmon (Salmo salar L.) in food products,FOOD CHEMISTRY
WOS:000317455100022,1,disease,A new StaRT-PCR approach to detect and quantify fish Viral Hemorrhagic Septicemia virus (VHSv): Enhanced quality control with internal standards,JOURNAL OF VIROLOGICAL METHODS
WOS:000390735200021,1,invasive,A new tagging method and its early stress effect on the sea cucumber Apostichopus japonicus,AQUACULTURE
WOS:A1997WT67900007,1,exclusion,A nonlinear programming model for analyzing aquaculture policy decision making in southern Thailand,APPLIED MATHEMATICS AND COMPUTATION
WOS:000405229600002,1,disease,A Novel and Validated Protocol for Performing MIC Tests to Determine the Susceptibility of Piscirickettsia salmonis Isolates to Florfenicol and Oxytetracycline,FRONTIERS IN MICROBIOLOGY
WOS:000404198800036,1,water,A novel approach for the determination of freshness and identity of trouts by MALDI-TOF mass spectrometry,FOOD CONTROL
WOS:000404198800036,1,market,A novel approach for the determination of freshness and identity of trouts by MALDI-TOF mass spectrometry,FOOD CONTROL
WOS:000362138700034,1,enhancement,A novel method for the identification of seahorses (genus Hippocampus) using cross-species amplifiable microsatellites,FISHERIES RESEARCH
WOS:000346088200005,1,genetic,"A pan-European valuation of the extent, causes and cost of escape events from sea cage fish farming",AQUACULTURE
WOS:000405292800009,1,market,A perspective for reducing environmental impacts of mussel culture in Algeria,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
WOS:000408034700039,1,disease,A potential aquaculture vaccine vector: Evaluation of a double-gene attenuated Listeria monocytogenes in zebrafish (Danio rerio),AQUACULTURE
WOS:000287836100026,1,feed,A preliminary study of digestive enzyme activities and amino acid composition of early juvenile yellowfin tuna (Thunnus albacares),AQUACULTURE
WOS:000287836100026,1,enhancement,A preliminary study of digestive enzyme activities and amino acid composition of early juvenile yellowfin tuna (Thunnus albacares),AQUACULTURE
WOS:000368533300008,1,invasive,A Proposal for the Feasible Exploitation of the Red Swamp Crayfish Procambarus Clarkii in Introduced Regions,CONSERVATION LETTERS
WOS:000394249000021,1,disease,A prospective of epidemiological intervention in investigation and management of argulosis in aquaculture,AQUACULTURE INTERNATIONAL
WOS:000382704100007,1,invasive,A rationale for introducing a subsidiary fishery in tropical reservoirs and lakes to augment inland fish production: case study from Sri Lanka,FOOD SECURITY
WOS:000335816400016,1,enhancement,A reappraisal of the history and economics of the Pacific oyster in Britain,AQUACULTURE
WOS:000334103000023,1,exclusion,A Regional-Scale Ocean Health Index for Brazil,PLOS ONE
WOS:A1991FZ11300008,1,disease,A RETROSPECTIVE ANALYSIS ON THE EPIZOOTIOLOGICAL ASPECTS OF OUTBREAKS OF PASTEURELLA-ANATIPESTIFER INFECTION IN TURKEYS IN MINNESOTA,POULTRY SCIENCE
WOS:A1991FZ11300008,1,feed,A RETROSPECTIVE ANALYSIS ON THE EPIZOOTIOLOGICAL ASPECTS OF OUTBREAKS OF PASTEURELLA-ANATIPESTIFER INFECTION IN TURKEYS IN MINNESOTA,POULTRY SCIENCE
WOS:000364436700016,1,market,A review of Chinese fish trade involving the development and limitations of food safety strategy,OCEAN & COASTAL MANAGEMENT
WOS:000384307300025,1,habitat,A review of Clarias gariepinus invasions in Brazil and South Africa,JOURNAL OF FISH BIOLOGY
WOS:000384307300025,1,genetic,A review of Clarias gariepinus invasions in Brazil and South Africa,JOURNAL OF FISH BIOLOGY
WOS:000384307300025,1,invasive,A review of Clarias gariepinus invasions in Brazil and South Africa,JOURNAL OF FISH BIOLOGY
WOS:000071635600008,1,feed,A review of ecological and behavioural interactions between cultured and wild Atlantic salmon,ICES JOURNAL OF MARINE SCIENCE
WOS:000071635600008,1,enhancement,A review of ecological and behavioural interactions between cultured and wild Atlantic salmon,ICES JOURNAL OF MARINE SCIENCE
WOS:000180910600017,1,disease,A review of international biosecurity policy development in relation to movements of freshwater crayfish.,BULLETIN FRANCAIS DE LA PECHE ET DE LA PISCICULTURE
WOS:000349149200008,1,disease,A review of parasite studies of commercially important marine fishes in sub-Saharan Africa,PARASITOLOGY
WOS:000176030200006,1,disease,A review of potential pathogens of sea lice and the application of cleaner fish in biological control,PEST MANAGEMENT SCIENCE
WOS:000088636000061,1,feed,A review of shellfish restoration and management projects in Rhode Island,JOURNAL OF SHELLFISH RESEARCH
WOS:000088636000061,1,enhancement,A review of shellfish restoration and management projects in Rhode Island,JOURNAL OF SHELLFISH RESEARCH
WOS:000263059000003,1,feed,"A review of spawning induction, larviculture, and juvenile rearing of the fat snook, Centropomus parallelus",FISH PHYSIOLOGY AND BIOCHEMISTRY
WOS:000263059000003,1,enhancement,"A review of spawning induction, larviculture, and juvenile rearing of the fat snook, Centropomus parallelus",FISH PHYSIOLOGY AND BIOCHEMISTRY
WOS:000291412200002,1,disease,A review of the broodstock management and larviculture of the Pacific northern bluefin tuna in Japan,AQUACULTURE
WOS:000291412200002,1,feed,A review of the broodstock management and larviculture of the Pacific northern bluefin tuna in Japan,AQUACULTURE
WOS:000291412200002,1,enhancement,A review of the broodstock management and larviculture of the Pacific northern bluefin tuna in Japan,AQUACULTURE
WOS:000076430800014,1,mpa,"A review of the fishery and biology of the blue crab, Callinectes sapidus, in South Carolina",JOURNAL OF SHELLFISH RESEARCH
WOS:000076430800014,1,water,"A review of the fishery and biology of the blue crab, Callinectes sapidus, in South Carolina",JOURNAL OF SHELLFISH RESEARCH
WOS:000076430800014,1,disease,"A review of the fishery and biology of the blue crab, Callinectes sapidus, in South Carolina",JOURNAL OF SHELLFISH RESEARCH
WOS:000222853500010,1,disease,A review of the impact of parasitic copepods on marine aquaculture,ZOOLOGICAL STUDIES
WOS:000239917100021,1,mpa,A review of the impacts of salmonid farming on marine coastal ecosystems in the southeast Pacific,ICES JOURNAL OF MARINE SCIENCE
WOS:000239917100021,1,feed,A review of the impacts of salmonid farming on marine coastal ecosystems in the southeast Pacific,ICES JOURNAL OF MARINE SCIENCE
WOS:000239917100021,1,genetic,A review of the impacts of salmonid farming on marine coastal ecosystems in the southeast Pacific,ICES JOURNAL OF MARINE SCIENCE
WOS:A1993ML90700012,1,water,A REVIEW OF VIRAL DISEASES OF CULTURED SHRIMP,PREVENTIVE VETERINARY MEDICINE
WOS:A1993ML90700012,1,disease,A REVIEW OF VIRAL DISEASES OF CULTURED SHRIMP,PREVENTIVE VETERINARY MEDICINE
WOS:A1993ML90700012,1,enhancement,A REVIEW OF VIRAL DISEASES OF CULTURED SHRIMP,PREVENTIVE VETERINARY MEDICINE
WOS:000331174200007,1,invasive,A Serious New Threat to Brazilian Freshwater Ecosystems: The Naturalization of Nonnative Fish by Decree,CONSERVATION LETTERS
WOS:000331174200007,1,enhancement,A Serious New Threat to Brazilian Freshwater Ecosystems: The Naturalization of Nonnative Fish by Decree,CONSERVATION LETTERS
WOS:000347495100056,1,market,A set of sustainability performance indicators for seafood: Direct human consumption products from Peruvian anchoveta fisheries and freshwater aquaculture,ECOLOGICAL INDICATORS
WOS:000345588500060,1,water,A short history of sturgeon caviar production in Turkey,JOURNAL OF APPLIED ICHTHYOLOGY
WOS:000398926100029,1,feed,A simple method to detect body morphological abnormalities in juvenile cyprinid fish-a case study on ide Leuciscus idus,AQUACULTURE INTERNATIONAL
WOS:000290839400007,1,disease,A simple model to assess selection for treatment-resistant sea lice,ECOLOGICAL MODELLING
WOS:000290839400007,1,genetic,A simple model to assess selection for treatment-resistant sea lice,ECOLOGICAL MODELLING
WOS:000266385700010,1,feed,A Simplified Method to Distinguish Farmed (Salmo salar) from Wild Salmon: Fatty Acid Ratios Versus Astaxanthin Chiral Isomers,LIPIDS
WOS:000236016700006,1,water,"A simulation model of sustainability of coastal communities: Aquaculture, fishing, environment and labour markets",ECOLOGICAL MODELLING
WOS:000236016700006,1,market,"A simulation model of sustainability of coastal communities: Aquaculture, fishing, environment and labour markets",ECOLOGICAL MODELLING
WOS:A1994PA78300015,1,enhancement,A SIMULATION-MODEL FOR STRATEGIES OF HATCHERY RELEASES WITH APPLICATION TO RED SEABREAM,NIPPON SUISAN GAKKAISHI
WOS:000238769200005,1,enhancement,A social science perspective on stock enhancement outcomes: Lessons learned from inland fisheries in southern Lao PDR,FISHERIES RESEARCH
WOS:000287314000004,1,exclusion,A Spatial Analysis of Fish Farming in the Context of ICZM in the Bay of Izmir-Turkey,COASTAL MANAGEMENT
WOS:000305671700009,1,habitat,A spatial model of coastal ecosystem services,ECOLOGICAL ECONOMICS
WOS:000305671700009,1,enhancement,A spatial model of coastal ecosystem services,ECOLOGICAL ECONOMICS
WOS:000381635900020,1,feed,A stochastic frontier analysis of technical efficiency of fish cage culture in Peninsular Malaysia,SPRINGERPLUS
WOS:000333125700002,1,disease,A STRUCTURED MODEL FOR THE TRANSMISSION DYNAMICS OF MYCOBACTERIUM MARINUM BETWEEN AQUATIC ANIMALS,JOURNAL OF BIOLOGICAL SYSTEMS
WOS:000229854600007,1,price,A study of the impact of direct trade on Taiwan's fishery sector with special reference to the effect of China's WTO accession,AGRICULTURAL ECONOMICS
WOS:000229854600007,1,market,A study of the impact of direct trade on Taiwan's fishery sector with special reference to the effect of China's WTO accession,AGRICULTURAL ECONOMICS
WOS:000229303800008,1,water,A survey of public opinion in south-west Scotland on cetacean conservation issues,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS
WOS:000229303800008,1,enhancement,A survey of public opinion in south-west Scotland on cetacean conservation issues,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS
WOS:000181372700005,1,habitat,A survey of viral diseases in farmed and feral salmonids in Switzerland,JOURNAL OF FISH DISEASES
WOS:000181372700005,1,disease,A survey of viral diseases in farmed and feral salmonids in Switzerland,JOURNAL OF FISH DISEASES
WOS:000353242400002,1,disease,"A survey of wild marine fish identifies a potential origin of an outbreak of viral haemorrhagic septicaemia in wrasse, Labridae, used as cleaner fish on marine Atlantic salmon, Salmo salar L., farms",JOURNAL OF FISH DISEASES
WOS:000339548300004,1,water,A survey on Tetracapsuloides bryosalmonae infections in Slovene fresh waters,JOURNAL OF FISH DISEASES
WOS:000339548300004,1,disease,A survey on Tetracapsuloides bryosalmonae infections in Slovene fresh waters,JOURNAL OF FISH DISEASES
WOS:000329315700011,1,habitat,A Synthesis of Human-related Avian Mortality in Canada,AVIAN CONSERVATION AND ECOLOGY
WOS:000329315700011,1,enhancement,A Synthesis of Human-related Avian Mortality in Canada,AVIAN CONSERVATION AND ECOLOGY
WOS:000272332900002,1,market,"A system dynamics model for the management of the Manila clam, Ruditapes philippinarum (Adams and Reeve, 1850) in the Bay of Arcachon (France)",ECOLOGICAL MODELLING
WOS:000247022200008,1,fad,A tagging study on yellowtail kingfish (Seriola lalandi) and Samson fish (S-hippos) in south Australian waters,TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA
WOS:000247022200008,1,disease,A tagging study on yellowtail kingfish (Seriola lalandi) and Samson fish (S-hippos) in south Australian waters,TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA
