year	production	growth_rate	perc_on_feeds	efcr	feed_used	species	type
2008	"1,390"	4.4	26	2	723	other fresh and diadromous	fresh
2009	"1,527"	9.8	28	2	855	other fresh and diadromous	fresh
2010	"1,660"	8.7	30	2	996	other fresh and diadromous	fresh
2011	"1,957"	17.9	32	2	"1,252"	other fresh and diadromous	fresh
2012	"2,136"	9.1	34	1.8	"1,307"	other fresh and diadromous	fresh
2015	"2,691"	8	40	1.8	"1,937"	other fresh and diadromous	fresh
2020	"3,601"	6	50	1.7	"3,061"	other fresh and diadromous	fresh
2025	"4,596"	5	60	1.7	"4,688"	other fresh and diadromous	fresh
2000	"1,025"	12.3	100	1.3	"1,332"	salmon	marine
2001	"1,205"	17.6	100	1.3	"1,566"	salmon	marine
2002	"1,224"	1.6	100	1.3	"1,591"	salmon	marine
2003	"1,281"	4.7	100	1.3	"1,665"	salmon	marine
2004	"1,380"	7.7	100	1.3	"1,794"	salmon	marine
2005	"1,403"	1.7	100	1.3	"1,824"	salmon	marine
2006	"1,471"	4.8	100	1.3	"1,912"	salmon	marine
2007	"1,527"	3.8	100	1.3	"1,985"	salmon	marine
2008	"1,590"	4.1	100	1.3	"2,067"	salmon	marine
2009	"1,656"	4.1	100	1.3	"2,153"	salmon	marine
2010	"1,622"	–2.0	100	1.3	"2,109"	salmon	marine
2011	"1,939"	19.5	100	1.3	"2,521"	salmon	marine
2012	"2,294"	18.3	100	1.3	"2,982"	salmon	marine
2015	"3,053"	10	100	1.3	"3,969"	salmon	marine
2020	"4,486"	8	100	1.3	"5,832"	salmon	marine
2025	"5,725"	5	100	1.3	"7,442"	salmon	marine
2000	508	7.6	100	1.3	660	trout	marine
2001	565	11.2	100	1.3	734	trout	marine
2002	560	–0.9	100	1.3	728	trout	marine
2003	565	0.9	100	1.3	734	trout	marine
2004	572	1.2	100	1.3	744	trout	marine
2005	566	–1.0	100	1.3	736	trout	marine
2006	610	7.8	100	1.3	793	trout	marine
2007	667	9.3	100	1.3	867	trout	marine
2008	677	1.5	100	1.3	880	trout	marine
2009	752	11.1	100	1.3	978	trout	marine
2010	752	0	100	1.3	978	trout	marine
2011	790	5.1	100	1.3	"1,027"	trout	marine
2012	879	11.3	100	1.3	"1,143"	trout	marine
2015	"1,107"	8	100	1.3	"1,439"	trout	marine
2020	"1,481"	6	100	1.3	"1,925"	trout	marine
2025	"1,890"	5	100	1.3	"2,457"	trout	marine
2000	468	5.9	34	2	318	milkfish	fresh
2001	495	5.8	35	2	347	milkfish	fresh
2002	528	6.7	36	2	380	milkfish	fresh
2003	552	4.5	37	2	408	milkfish	fresh
2004	574	4	38	2	436	milkfish	fresh
2005	595	3.7	39	2	464	milkfish	fresh
2006	585	–1.7	40	2	468	milkfish	fresh
2007	667	14	41	2	547	milkfish	fresh
2008	676	1.3	42	2	568	milkfish	fresh
2009	718	6.2	43	2	617	milkfish	fresh
2010	809	12.7	45	2	728	milkfish	fresh
2011	891	10.1	46	2	820	milkfish	fresh
2012	943	5.8	47	2	886	milkfish	fresh
2015	"1,188"	8	50	1.8	"1,069"	milkfish	fresh
2020	"1,590"	6	55	1.6	"1,399"	milkfish	fresh
2025	"2,029"	5	60	1.5	"1,826"	milkfish	fresh
2000	212	6.7	92	1.8	351	eel	marine
2001	210	−0.9	92	1.7	329	eel	marine
2002	210	−0.2	93	1.7	332	eel	marine
2003	210	0.2	93	1.7	332	eel	marine
2004	224	6.5	94	1.6	337	eel	marine
2005	217	−2.9	94	1.6	327	eel	marine
2006	239	9.9	95	1.6	363	eel	marine
2007	273	14.2	95	1.6	415	eel	marine
2008	265	−2.9	95	1.6	403	eel	marine
2009	275	3.8	95	1.6	418	eel	marine
2010	271	−1.4	96	1.6	416	eel	marine
2011	254	−6.3	96	1.6	390	eel	marine
2012	241	−5.1	96	1.6	370	eel	marine
2015	241	0	97	1.5	351	eel	marine
2020	241	0	98	1.5	354	eel	marine
2025	241	0	100	1.5	361	eel	marine
2000	977	16.4	60	2	"1,172"	marine fish	marine
2001	"1,051"	7.6	62	2	"1,303"	marine fish	marine
2002	"1,162"	10.5	65	2	"1,511"	marine fish	marine
2003	"1,227"	5.6	67	2	"1,644"	marine fish	marine
2004	"1,276"	4	70	1.9	"1,697"	marine fish	marine
2005	"1,441"	12.9	70	1.9	"1,916"	marine fish	marine
2006	"1,643"	14	71	1.9	"2,216"	marine fish	marine
2007	"1,737"	5.7	72	1.9	"2,376"	marine fish	marine
2008	"1,951"	12.3	72	1.9	"2,669"	marine fish	marine
2009	"1,950"	–0.1	73	1.9	"2,705"	marine fish	marine
2010	"1,840"	–5.6	74	1.9	"2,587"	marine fish	marine
2011	"2,046"	11.2	75	1.8	"2,762"	marine fish	marine
2012	"2,181"	6.6	76	1.8	"2,984"	marine fish	marine
2015	"2,746"	8	80	1.7	"3,734"	marine fish	marine
2020	"3,675"	6	85	1.6	"4,998"	marine fish	marine
2025	"4,691"	5	90	1.5	"6,333"	marine fish	marine
2000	"1,137"	8.6	77	2	"1,751"	shrimp	marine
2001	"1,311"	15.3	78	2	"2,045"	shrimp	marine
2002	"1,467"	11.9	78	1.9	"2,174"	shrimp	marine
2003	"2,051"	39.8	79	1.9	"3,006"	shrimp	marine
2004	"2,364"	15.3	79	1.9	"3,548"	shrimp	marine
2005	"2,668"	12.9	80	1.9	"4,055"	shrimp	marine
2006	"3,111"	16.6	80	1.8	"4,480"	shrimp	marine
2007	"3,294"	5.9	81	1.8	"4,803"	shrimp	marine
2008	"3,400"	3.2	81	1.8	"4,957"	shrimp	marine
2009	"3,532"	3.9	82	1.8	"5,213"	shrimp	marine
2010	"3,779"	7	82	1.7	"5,268"	shrimp	marine
2011	"4,185"	10.7	83	1.7	"5,905"	shrimp	marine
2012	"4,327"	3.4	84	1.7	"6,179"	shrimp	marine
2015	"4,729"	3	85	1.7	"6,833"	shrimp	marine
2020	"5,482"	3	87	1.6	"7,631"	shrimp	marine
2025	"6,354"	3	90	1.5	"8,578"	shrimp	marine
2000	429	57.1	40	2.4	412	fresh crustaceans	fresh
2001	521	21.4	41	2.4	513	fresh crustaceans	fresh
2002	577	10.7	42	2.3	557	fresh crustaceans	fresh
2003	785	36	43	2.3	776	fresh crustaceans	fresh
2004	846	7.8	44	2.2	819	fresh crustaceans	fresh
2005	914	8	45	2.2	905	fresh crustaceans	fresh
2006	955	4.5	46	2.1	922	fresh crustaceans	fresh
2007	"1,272"	33.2	47	2.1	"1,255"	fresh crustaceans	fresh
2008	"1,374"	8	48	2	"1,319"	fresh crustaceans	fresh
2009	"1,555"	13.2	49	2	"1,524"	fresh crustaceans	fresh
2010	"1,692"	8.8	50	2	"1,692"	fresh crustaceans	fresh
2011	"1,665"	–1.6	51	2	"1,698"	fresh crustaceans	fresh
2012	"1,827"	9.7	52	1.9	"1,805"	fresh crustaceans	fresh
2015	"2,115"	5	55	1.9	"2,210"	fresh crustaceans	fresh
2020	"2,699"	5	60	1.8	"2,915"	fresh crustaceans	fresh
2025	"3,445"	5	65	1.7	"3,807"	fresh crustaceans	fresh
